unique_road_id,osmid,name,dong,hour,length_score,width_score,slope_score,density_score,length_score_norm,width_score_norm,slope_score_norm,density_score_norm,risk_score,risk_level
0,37398454.0,광안해변로370번길,민락동,0,3,3,1,3,0.5,0.5,0.0,0.5,0.325,중간
1,77488337.0,민락수변로,민락동,0,4,2,1,3,0.75,0.25,0.0,0.5,0.275,낮음
2,37397954.0,광안해변로358번길,민락동,0,3,3,1,3,0.5,0.5,0.0,0.5,0.325,중간
3,77488337.0,민락수변로,민락동,0,5,2,1,3,1.0,0.25,0.0,0.5,0.30000000000000004,중간
4,37397953.0,광안해변로344번길,민락동,0,2,3,1,3,0.25,0.5,0.0,0.5,0.30000000000000004,중간
5,988489308.0,민락수변로,민락동,0,5,2,1,3,1.0,0.25,0.0,0.5,0.30000000000000004,중간
6,77488337.0,민락수변로,민락동,0,5,2,1,3,1.0,0.25,0.0,0.5,0.30000000000000004,중간
7,776655372.0,광안해변로326번길,민락동,0,5,3,1,3,1.0,0.5,0.0,0.5,0.375,중간
8,988489308.0,민락수변로,민락동,0,5,2,1,3,1.0,0.25,0.0,0.5,0.30000000000000004,중간
9,988489308.0,민락수변로,민락동,0,5,2,1,3,1.0,0.25,0.0,0.5,0.30000000000000004,중간
10,37397956.0,광안해변로312번길,민락동,0,5,3,1,3,1.0,0.5,0.0,0.5,0.375,중간
11,988489308.0,민락수변로,민락동,0,5,2,1,3,1.0,0.25,0.0,0.5,0.30000000000000004,중간
12,37403448.0,광안해변로294번길,민락동,0,5,3,1,3,1.0,0.5,0.0,0.5,0.375,중간
13,784099273.0,민락수변로,민락동,0,5,2,1,3,1.0,0.25,0.0,0.5,0.30000000000000004,중간
14,166137335.0,민락수변로17번길,민락동,0,3,3,1,4,0.5,0.5,0.0,0.75,0.3875,중간
15,780056733.0,민락수변로,민락동,0,3,2,1,4,0.5,0.25,0.0,0.75,0.3125,중간
16,780056734.0,민락수변로,민락동,0,1,2,1,4,0.0,0.25,0.0,0.75,0.2625,낮음
17,165503751.0,광남로,민락동,0,3,1,5,3,0.5,0.0,1.0,0.5,0.525,중간
