lat,lon,density
35.1362,129.1104541,43
35.1362,129.1110859,43
35.13665,129.1101381,43
35.13665,129.11077,43
35.13665,129.1114018,44
35.13665,129.1120337,44
35.1371,129.1091904,41
35.1371,129.1098222,42
35.1371,129.1104541,43
35.1371,129.1110859,43
35.1371,129.1117178,44
35.1371,129.1123496,44
35.13755,129.1088744,41
35.13755,129.1095063,41
35.13755,129.1101381,42
35.13755,129.11077,43
35.13755,129.1114018,43
35.13755,129.1120337,44
35.13755,129.1126656,44
35.13755,129.1132974,44
35.138,129.1079267,39
35.138,129.1085585,40
35.138,129.1091904,41
35.138,129.1098222,41
35.138,129.1104541,42
35.138,129.1110859,43
35.138,129.1117178,44
35.138,129.1123496,44
35.138,129.1129815,44
35.138,129.1136133,44
35.13845,129.1076107,36
35.13845,129.1082426,39
35.13845,129.1088744,44
35.13845,129.1095063,41
35.13845,129.1101381,42
35.13845,129.11077,43
35.13845,129.1114018,43
35.13845,129.1120337,44
35.13845,129.1126656,44
35.13845,129.1132974,44
35.13845,129.1139293,44
35.1389,129.106663,35
35.1389,129.1072948,32
35.1389,129.1079267,32
35.1389,129.1085585,44
35.1389,129.1091904,44
35.1389,129.1098222,41
35.1389,129.1104541,42
35.1389,129.1110859,43
35.1389,129.1117178,44
35.1389,129.1123496,44
35.1389,129.1129815,44
35.1389,129.1136133,44
35.1389,129.1142452,45
35.1389,129.114877,45
35.13935,129.106347,35
35.13935,129.1069789,31
35.13935,129.1076107,24
35.13935,129.1082426,9
35.13935,129.1088744,44
35.13935,129.1095063,38
35.13935,129.1101381,41
35.13935,129.11077,44
35.13935,129.1114018,45
35.13935,129.1120337,45
35.13935,129.1126656,45
35.13935,129.1132974,45
35.13935,129.1139293,45
35.13935,129.1145611,45
35.13935,129.115193,45
35.1398,129.1053993,39
35.1398,129.1060311,37
35.1398,129.106663,33
35.1398,129.1072948,25
35.1398,129.1079267,9
35.1398,129.1085585,9
35.1398,129.1091904,32
35.1398,129.1098222,41
35.1398,129.1104541,45
35.1398,129.1110859,46
35.1398,129.1117178,46
35.1398,129.1123496,46
35.1398,129.1129815,45
35.1398,129.1136133,45
35.1398,129.1142452,45
35.1398,129.114877,45
35.1398,129.1155089,45
35.1398,129.1161407,45
35.1398,129.1167726,45
35.1398,129.1174044,45
35.14025,129.1057152,39
35.14025,129.106347,36
35.14025,129.1069789,32
35.14025,129.1076107,25
35.14025,129.1082426,9
35.14025,129.1088744,30
